Time [s],Packet ID,MOSI,MISO
0.0000089,0,0x00,0x01
0.0000109,0,0x01,0x02
0.0000129,0,0x02,0x03
0.0000193,1,0x04,0x05
0.0000213,1,0x05,0x06
0.0000233,1,0x06,0x07
0.0000297,2,0x08,0x09
0.0000317,2,0x09,0x0A
0.0000337,2,0x0A,0x0B
0.0000401,3,0x0C,0x0D
0.0000421,3,0x0D,0x0E
0.0000441,3,0x0E,0x0F
0.0000505,4,0x10,0x11
0.0000525,4,0x11,0x12
0.0000545,4,0x12,0x13
0.0000609,5,0x14,0x15
0.0000629,5,0x15,0x16
0.0000649,5,0x16,0x17
0.0000713,6,0x18,0x19
0.0000733,6,0x19,0x1A
0.0000753,6,0x1A,0x1B
0.0000817,7,0x1C,0x1D
0.0000837,7,0x1D,0x1E
0.0000857,7,0x1E,0x1F
0.0000921,8,0x20,0x21
0.0000941,8,0x21,0x22
0.0000961,8,0x22,0x23
0.0001025,9,0x24,0x25
0.0001045,9,0x25,0x26
0.0001065,9,0x26,0x27
0.0001129,10,0x28,0x29
0.0001149,10,0x29,0x2A
0.0001169,10,0x2A,0x2B
0.0001233,11,0x2C,0x2D
0.0001253,11,0x2D,0x2E
0.0001273,11,0x2E,0x2F
0.0001337,12,0x30,0x31
0.0001357,12,0x31,0x32
0.0001377,12,0x32,0x33
0.0001441,13,0x34,0x35
0.0001461,13,0x35,0x36
0.0001481,13,0x36,0x37
0.0001545,14,0x38,0x39
0.0001565,14,0x39,0x3A
0.0001585,14,0x3A,0x3B
0.0001649,15,0x3C,0x3D
0.0001669,15,0x3D,0x3E
0.0001689,15,0x3E,0x3F
0.0001753,16,0x40,0x41
0.0001773,16,0x41,0x42
0.0001793,16,0x42,0x43
0.0001857,17,0x44,0x45
0.0001877,17,0x45,0x46
0.0001897,17,0x46,0x47
0.0001961,18,0x48,0x49
0.0001981,18,0x49,0x4A
0.0002001,18,0x4A,0x4B
0.0002065,19,0x4C,0x4D
0.0002085,19,0x4D,0x4E
0.0002105,19,0x4E,0x4F
0.0002169,20,0x50,0x51
0.0002189,20,0x51,0x52
0.0002209,20,0x52,0x53
0.0002273,21,0x54,0x55
0.0002293,21,0x55,0x56
0.0002313,21,0x56,0x57
0.0002377,22,0x58,0x59
0.0002397,22,0x59,0x5A
0.0002417,22,0x5A,0x5B
0.0002481,23,0x5C,0x5D
0.0002501,23,0x5D,0x5E
0.0002521,23,0x5E,0x5F
0.0002585,24,0x60,0x61
0.0002605,24,0x61,0x62
0.0002625,24,0x62,0x63
0.0002689,25,0x64,0x65
0.0002709,25,0x65,0x66
0.0002729,25,0x66,0x67
0.0002793,26,0x68,0x69
0.0002813,26,0x69,0x6A
0.0002833,26,0x6A,0x6B
0.0002897,27,0x6C,0x6D
0.0002917,27,0x6D,0x6E
0.0002937,27,0x6E,0x6F
0.0003001,28,0x70,0x71
0.0003021,28,0x71,0x72
0.0003041,28,0x72,0x73
0.0003105,29,0x74,0x75
0.0003125,29,0x75,0x76
0.0003145,29,0x76,0x77
0.0003209,30,0x78,0x79
0.0003229,30,0x79,0x7A
0.0003249,30,0x7A,0x7B
0.0003313,31,0x7C,0x7D
0.0003333,31,0x7D,0x7E
0.0003353,31,0x7E,0x7F
0.0003417,32,0x80,0x81
0.0003437,32,0x81,0x82
0.0003457,32,0x82,0x83
0.0003521,33,0x84,0x85
0.0003541,33,0x85,0x86
0.0003561,33,0x86,0x87
0.0003625,34,0x88,0x89
0.0003645,34,0x89,0x8A
0.0003665,34,0x8A,0x8B
0.0003729,35,0x8C,0x8D
0.0003749,35,0x8D,0x8E
0.0003769,35,0x8E,0x8F
0.0003833,36,0x90,0x91
0.0003853,36,0x91,0x92
0.0003873,36,0x92,0x93
0.0003937,37,0x94,0x95
0.0003957,37,0x95,0x96
0.0003977,37,0x96,0x97
0.0004041,38,0x98,0x99
0.0004061,38,0x99,0x9A
0.0004081,38,0x9A,0x9B
0.0004145,39,0x9C,0x9D
0.0004165,39,0x9D,0x9E
0.0004185,39,0x9E,0x9F
0.0004249,40,0xA0,0xA1
0.0004269,40,0xA1,0xA2
0.0004289,40,0xA2,0xA3
0.0004353,41,0xA4,0xA5
0.0004373,41,0xA5,0xA6
0.0004393,41,0xA6,0xA7
0.0004457,42,0xA8,0xA9
0.0004477,42,0xA9,0xAA
0.0004497,42,0xAA,0xAB
0.0004561,43,0xAC,0xAD
0.0004581,43,0xAD,0xAE
0.0004601,43,0xAE,0xAF
0.0004665,44,0xB0,0xB1
0.0004685,44,0xB1,0xB2
0.0004705,44,0xB2,0xB3
0.0004769,45,0xB4,0xB5
0.0004789,45,0xB5,0xB6
0.0004809,45,0xB6,0xB7
